Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Давимука;Пармен;Васильович;Чоловік;1967-11-01;Футболіст;селище Березань ;вулиця Літня, буд. 8 кв. 3, Щолкіне, 86948;000 122 40 28;obezborodko@example.net
Ящук;Ірена;Михайлівна;Жінка;1994-04-20;Астроном;селище Запоріжжя;сквер Василя Стуса, буд. 974 кв. 92, Одеса, 73637;019 551-15-98;havryletsirena@example.com
Затула;Єва;Федорівна;Жінка;1959-03-04;Журналіст;хутір Ямпіль;узвіз Вапняне селище, буд. 8 кв. 472, Тиврів, 18473;+380 (38) 026-94-88;matiashlarysa@example.com
Зайченко;Охрім;Юрійович;Чоловік;1940-09-15;Детектив;місто Маріуполь;площа Раїси Сергієнко, буд. 028 кв. 206, Лебедин, 16077;+380 81 882-87-47;mariia50@example.net
Парасюк;Єфрем;Георгійович;Чоловік;1982-07-29;Фотограф;місто Перевальськ;проспект Яблунева, буд. 27, Бунге , 30218;+380 31 811 37 70;roman21@example.com
Абраменко;Оксана;Борисівна;Жінка;1959-07-20;Гірник;хутір Верхівцеве;провулок 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 827 кв. 675, Новоукраїнка, 18769;+380 61 536-82-17;panasbarabash@example.org
Деряжний;Юстина;Тимофіївна;Жінка;1966-07-30;Адвокат;місто Новодружеськ;узвіз Романтичний, буд. 5 кв. 90, Сіверськ, 10644;+380 51 889 34 61;atamanchukleonid@example.org
Шутько;Владислав;Юрійович;Чоловік;1968-02-24;Петрограф;селище Копичинці;узвіз Ключовий 2-й, буд. 0 кв. 8, Молочанськ, 86251;001 110-38-66;hennadiiiatseniuk@example.net
Міщенко;Варвара;Андріївна;Жінка;1986-09-01;Сантехнік;село Олександрівськ;площа Князівський, буд. 79 кв. 472, Бурштин , 66936;+380 89 875-61-39;tymofii62@example.net
Непорожній;Ярема;Дмитрович;Чоловік;2008-09-21;Штукатур;місто Жмеринка;шосе Чорноморський 4-й, буд. 476 кв. 5, Гнівань, 39656;+380 (78) 380-25-94;svitlanaprytula@example.com
Запорожець;Гаврило;Вікторович;Чоловік;1971-05-25;Мікробіолог;місто Щастя ;шосе Ширяївський, буд. 79, Сколе, 84281;765-83-14;sakulenko@example.org
Сірченко;Роман;Андрійович;Чоловік;1942-03-28;Маркетолог;хутір Хмільник;вулиця Паустовського, буд. 3, Підгородне, 32298;+380 75 831 18 66;iustyna66@example.net
Щириця;Миколай;Юрійович;Чоловік;1949-06-14;Композитор;село Дніпро ;парк Новий, буд. 892, Решетилівка, 33671;+380 12 310 94 86;nbaida@example.net
Щербак;Ганна;Дмитрівна;Жінка;1990-09-13;Детектив;хутір Сніжне;провулок Ризька, буд. 31, Обухів, 85324;062 111 41 01;snizhana72@example.org
Давиденко;Гаврило;Васильович;Чоловік;1943-07-17;Єгер;селище Калинівка ;проспект Незалежності, буд. 399 кв. 4, Олександрівськ, 94464;091 788 79 57;adanyliuk@example.net
Ванченко;Наталія;Ярославівна;Жінка;2007-06-03;Хімік;хутір Рахів;набережна Чорноморського козацтва, буд. 1, Косів, 13654;093 622-93-40;allatovstukha@example.org
Ісаєвич;Ярина;Анатоліївна;Жінка;1958-12-05;Бухгалтер;місто Приморськ (Україна);вулиця Льва Толстого, буд. 41 кв. 98, Березівка, 63464;+380 (39) 209-61-79;kchalenko@example.com
Царенко;Руслан;Петрович;Чоловік;1962-11-25;Паралегал;селище Горохів;сквер Мостовий, буд. 1 кв. 57, Донецьк, 88213;+380 38 900-70-90;zakhar61@example.net
Тесля;Георгій;Петрович;Чоловік;1990-01-29;Гірничий інженер;місто Вашківці;узвіз Макарова, буд. 5, Білогірськ, 70627;032 779 95 41;omelianchervonenko@example.net
Чуприна;Олександр;Ярославович;Чоловік;2005-07-06;Хореограф;селище Старокостянтинів;узвіз Нікітіна, буд. 2 кв. 3, Новодністровськ, 04144;+380 11 460-77-16;vasylyna78@example.net
Забіла;Амалія;Дмитрівна;Жінка;2000-03-29;Випробувач;село Алушта;провулок Державіна, буд. 22 кв. 9, Богодухів, 34219;+380 12 898-15-78;valentyn46@example.net
Коваленко;Орися;Аркадіївна;Жінка;1963-02-23;Соціолог;селище Чернігів;проспект Чорноморський 12-й, буд. 4 кв. 46, Богуслав, 11392;+380 15 731-67-97;glavrenko@example.net
Бабко;Левко;Васильович;Чоловік;1998-02-21;Математик;село Кам'янське;сквер Юхима Геллера, буд. 0, Горлівка, 66096;017 254 23 88;rozaliia32@example.net
Аврамчук;Василина;Юріївна;Жінка;1988-01-05;Стоматолог;місто Олевськ;сквер Магістральна, буд. 9 кв. 58, Новодністровськ, 34590;036 951-24-78;sviatoslavvitruk@example.net
Іваненко;Лариса;Євгенівна;Жінка;2001-04-05;Нотаріус;хутір Павлоград;вулиця Псковська, буд. 28 кв. 222, Кілія, 69221;+380 14 855-12-01;pylyp05@example.net
Величко;Михайлина;Євгенівна;Жінка;1976-01-02;Електрик;хутір Олевськ;набережна Князівська, буд. 3, Бурштин , 62784;082 143-15-20;hermanbaturynets@example.com
Рубан;Сніжана;Іванівна;Жінка;1994-09-11;Кур'єр;селище Кам'янець-Подільський;площа Балтський 6-й, буд. 399 кв. 82, Мирноград, 70823;021 129-92-41;fedirkhomyk@example.net
Щербак;Валерій;Євгенович;Чоловік;1986-02-09;Кінорежисер;селище Ровеньки;набережна Левадна, буд. 54, Новогродівка, 85318;+380 79 797 01 85;odarka32@example.com
Давиденко;Петро;Іванович;Чоловік;1962-10-17;Ювелір;село Тисмениця;площа Коблевська, буд. 58 кв. 507, Тлумач, 05787;046 725 87 27;spas15@example.org
Фесенко;Світлана;Тимофіївна;Жінка;1965-05-21;Державний службовець;селище Старобільськ;площа Тираспольське, буд. 878 кв. 37, Чистякове, 26056;+380 94 428-12-49;liesypenko@example.com
Василашко;Одарка;Борисівна;Жінка;2001-11-27;Пілот;хутір Корсунь-Шевченківський;провулок Житомирська, буд. 0, Татарбунари, 67292;+380 26 701-41-54;hlibbaklan@example.com
Височан;Богдан;Петрович;Чоловік;1959-05-26;Економіст;село Середина-Буда;набережна Восьмого Березня Лінія 4-та, буд. 93 кв. 1, Новодружеськ, 66667;+380 36 012-54-17;bzakharenko@example.net
Ґерета;Демид;Сергійович;Чоловік;1957-11-26;Фольклорист;хутір Козятин;парк Матроська Слобідка, буд. 9 кв. 61, Прилуки, 36684;482-63-45;hryhorii78@example.org
Верес;Тарас;Тимофійович;Чоловік;1975-10-22;Диригент;хутір Українка ;сквер Андрійця Олега, буд. 435, Полонне, 05749;961-58-22;liudmyla42@example.com
Макаренко;Алевтин;Федорович;Чоловік;1981-01-21;Астрофізик;хутір Корюківка;набережна Щоголєва, буд. 9, Чистякове, 44799;+380 66 225 11 29;nataliiamalyshko@example.com
Атрощенко;Леон;Андрійович;Чоловік;1981-07-31;Дизайнер;хутір Добропілля;проспект Таїрова, буд. 637, Красногорівка, 75776;+380 95 812-72-66;hpelekh@example.org
Малишко;Владислав;Георгійович;Чоловік;1956-12-15;Кіноактор;село Чорноморськ;набережна Самарська, буд. 678 кв. 897, Великі Мости, 59889;+380 (93) 229-74-51;orynanehoda@example.org
Жаліло;Веніямин;Олександрович;Чоловік;1964-08-29;Співак;хутір Мукачево;парк Середньофонтанська, буд. 306 кв. 33, Теплодар, 08588;099 737-23-08;bohdanna96@example.net
Байрак;Надія;Георгіївна;Жінка;1984-04-15;Бухгалтер;село Сімферополь;набережна Єліна, буд. 52, Красилів, 93435;063 805 82 48;oles04@example.com
Вдовиченко;Омелян;Іванович;Чоловік;1944-03-28;Ювелір;місто Кагарлик;провулок Гвоздична, буд. 624 кв. 5, Середина-Буда, 84429;+380 (88) 326-69-26;lzakharenko@example.org
Вишиваний;Орхип;Анатолійович;Чоловік;1987-02-05;Лікар;хутір Долинська;сквер Головна, буд. 7, Ірпінь, 92380;+380 47 548 62 32;fartiushenko@example.org
Дейнеко;Едита;Іванівна;Жінка;1966-02-01;Євнух;місто Соснівка ;сквер Просвіти, буд. 8 кв. 723, Луцьк, 22320;+380 48 892 02 27;terezaivasiuk@example.net
Бабʼюк;Василина;Юріївна;Жінка;1958-11-25;Патологоанатом;село Черкаси;проспект Камишова, буд. 684, Новий Буг, 42199;+380 (47) 291-55-72;andriiovycherika@example.org
Шиян;Устим;Володимирович;Чоловік;1944-07-01;Кухар;хутір Петрово-Красносілля;проспект Чорноморський, буд. 6, Коростень, 62606;+380 97 665-80-24;valentynafesenko@example.net
Лазаренко;Пріска;Сергіївна;Жінка;1949-09-17;Ветеринар;село Рава-Руська;провулок Нікітіна, буд. 1, Кам'янець-Подільський, 07898;+380 33 847-59-42;bohuslavonishchuk@example.org
Гресь;Віталій;Євгенович;Чоловік;1979-02-08;Географ;місто Львів;узвіз Куликове поле, буд. 50 кв. 957, Вашківці, 62053;+380 (99) 705-48-77;akymenkonataliia@example.net
Байрак;Тимофій;Сергійович;Чоловік;1947-03-15;Скульптор;хутір Підгородне;сквер Трудових резервів, буд. 77, Оріхів, 28311;032 324-11-01;petro18@example.net
Вертипорох;Альберт;Петрович;Чоловік;1955-03-26;Ґрунтознавець;місто Південне ;парк Пересипський міст, буд. 08 кв. 50, Городище , 10916;084 702-96-27;hkhrystych@example.net
Фаренюк;Пріска;Дмитрівна;Жінка;1986-11-06;Ді-джей;хутір Нововолинськ;набережна Марата 2-й, буд. 455 кв. 670, Бережани, 62606;010 355-69-66;haievskyidavyd@example.net
Ящук;Семен;Петрович;Чоловік;1988-05-04;Гінеколог;хутір Кременчук;провулок Лінія 35-та, буд. 8, Гайворон, 09272;+380 23 125-15-75;huziiroman@example.net
Оліфіренко;Єфрем;Сергійович;Чоловік;2007-08-10;Фізик;селище Теребовля;вулиця Балтська дорога, буд. 16 кв. 5, Новгород-Сіверський, 51654;+380 11 477 30 76;shyianrostyslav@example.net
Абрамчук;Мирослав;Аркадійович;Чоловік;1968-06-28;Мінералог;село Чернівці;шосе Водопровідний 2-й, буд. 143, Ківерці, 61574;+380 75 991-54-63;valerii79@example.org
Остапчук;Арсен;Михайлович;Чоловік;2006-01-24;Фотограф;селище Вараш;сквер Отамана Головатого, буд. 6 кв. 438, Стрий, 61960;157-13-81;ibezditko@example.net
Гайдабура;Леонід;Анатолійович;Чоловік;1973-03-17;Реабілітолог;місто Коростень;узвіз Баркасний, буд. 3 кв. 63, Перевальськ, 34347;+380 98 107-39-24;rubetssviatoslav@example.com
Охріменко;Дмитро;Євгенович;Чоловік;1938-04-19;Редактор;село Гнівань;набережна Лінія 36-та, буд. 160 кв. 2, Болград, 53380;+380 65 139-83-64;demydvdovenko@example.com
Ґалаґан;Варвара;Михайлівна;Жінка;1991-02-16;Детектив;хутір Мар'їнка;провулок Каманіна, буд. 00 кв. 74, Новомосковськ, 09318;818-22-57;cavdieienko@example.net
Пустовіт;Сніжана;Аркадіївна;Жінка;1990-11-05;Бібліограф;селище Волноваха;узвіз Гастелло, буд. 92, Бунге , 67883;+380 66 960-61-09;perepelytsiastefan@example.org
Ярош;Лариса;Федорівна;Жінка;1963-05-12;Перекладач;хутір Городище ;узвіз Матеріальний 1-й, буд. 79 кв. 9, Ананьїв, 52660;+380 38 759-04-52;hzinchuk@example.net
Зайченко;Зорян;Олександрович;Чоловік;1944-11-20;Гірник;селище Чоп;набережна Бреуса, буд. 3, Батурин, 92691;+380 66 628 01 67;marianaishchenko@example.net
Євтушок;Олександр;Андрійович;Чоловік;1941-06-21;Бібліотекар;село Бориспіль;провулок Лип Івана та Юрія, буд. 54 кв. 75, Сніжне, 77783;+380 58 919-19-45;zorian15@example.net
Михайличенко;Еріка;Андріївна;Жінка;2001-05-21;Гінеколог;село Болград;сквер Садова 1-ша, буд. 8 кв. 41, Бахмач, 47188;+380 81 946-71-15;gerusliudmyla@example.org
Балабан;Ярослав;Юрійович;Чоловік;1997-04-17;Доцент;село Долина ;парк Анни Ахматової, буд. 032, Миргород, 39997;042 108-89-12;bohodar63@example.net
Вдовиченко;Левко;Аркадійович;Чоловік;1945-06-23;Музикознавець;місто Волноваха;набережна Велика Садова, буд. 07, Конотоп, 80948;252 43 62;bfomenko@example.com
Голик;Симон;Юрійович;Чоловік;1966-03-03;Шериф;місто Маріуполь;сквер Павлова, буд. 2 кв. 08, Алчевськ, 57186;341-01-91;leontii84@example.net
Юрчишин;Степан;Борисович;Чоловік;1989-11-25;Ді-джей;місто Гуляйполе;сквер Іванова, буд. 3 кв. 69, Кременчук, 13691;+380 (78) 655-43-46;lbabak@example.org
Корбут;Степан;Кузьмич;Чоловік;1971-04-12;Кінолог;село Федорівка;провулок Уральська, буд. 13, Іршава, 18294;077 89 07;hrechkoiukhym@example.org
Удовиченко;Онисим;Вікторович;Чоловік;1944-12-31;Режисер;село Гола Пристань;проспект Солонцюватий 1-й, буд. 22, Феодосія, 94990;+380 23 177-43-95;lustenko@example.net
Баранець;Василина;Ярославівна;Жінка;2005-09-19;Кінорежисер;селище Коломия;площа Зелений, буд. 27 кв. 4, Луцьк, 63254;+380 81 927-37-65;tereshchukspas@example.org
Кальченко;Євген;Вікторович;Чоловік;1984-03-17;Промисловець;село Вільнянськ;узвіз Гаванна, буд. 7 кв. 908, Новий Розділ, 47570;+380 46 290 49 73;marynaolifirenko@example.org
Тичина;Тереза;Кузьмівна;Жінка;1953-01-02;Електротехнік;хутір Чернігів;сквер Український 1-й, буд. 229 кв. 0, Калуш, 60944;018 845 32 66;antondanyliuk@example.org
Тригуб;Альбіна;Іванівна;Жінка;2006-03-19;Мінералог;село Знам'янка;парк Кедровий, буд. 077, Звенигородка, 55857;029 803 21 99;myroslav45@example.net
Данилюк;Мілена;Юріївна;Жінка;1947-10-11;Каскадер;село Нова Одеса;набережна Текстильників, буд. 43 кв. 401, Краматорськ, 13358;445-18-49;nsirchenko@example.org
Ємельяненко;Леонід;Васильович;Чоловік;1995-05-27;Бібліограф;хутір Пирятин;шосе Хімічний 3-й, буд. 396 кв. 23, Заставна, 81704;+380 88 836 26 34;wcharnysh@example.org
Дейнека;Прохір;Олександрович;Чоловік;1987-10-13;Ветеринар;селище Лебедин;узвіз 8-ма Суворовська, буд. 38 кв. 90, Дніпрорудне, 42407;912 48 15;vasylhrechanyk@example.net
Адаменко;Опанас;Анатолійович;Чоловік;1957-05-13;Золотар;місто Голубівка;провулок Нескучна, буд. 9 кв. 840, Южне, 82930;056 163-23-97;saienkoliza@example.net
Сімашкевич;Олесь;Борисович;Чоловік;1958-01-24;Ботанік;хутір Виноградів;вулиця Шкодова гора, буд. 9 кв. 009, Городище , 90485;+380 87 501-09-70;mariiaiakymchuk@example.net
Юхименко;Віолетта;Ярославівна;Жінка;1977-09-02;Фрілансер;хутір Кролевець;провулок Полтавська, буд. 201, Старий Крим, 98036;081 868 66 38;virahohol@example.org
Александренко;Зиновій;Георгійович;Чоловік;1938-11-15;Музикант;місто Городенка;вулиця Агрономічний, буд. 200, Бердичів, 55316;067 371-97-96;ihorrubets@example.org
Зінчук;Франц;Васильович;Чоловік;1949-10-18;Математик;село Добромиль;парк Матроська Слобідка, буд. 21 кв. 8, Міусинськ, 91505;+380 09 277-25-94;riatseniuk@example.net
Авраменко;Алевтин;Анатолійович;Чоловік;1962-02-19;Модель;село Новий Калинів;сквер 6-та Лінія Марії Демченко, буд. 091 кв. 2, Яворів, 47880;619-55-91;kovalenkoiustyna@example.org
Бевзенко;Зорян;Олександрович;Чоловік;1980-10-06;Музичний редактор;селище Хуст;набережна Бернардацці, буд. 211, Павлоград, 78844;098 266 12 08;ybaidak@example.net
Малишко;Олександр;Тимофійович;Чоловік;1999-07-11;Економіст;хутір Болград;сквер Тиха, буд. 7 кв. 3, Хрустальний, 44726;+380 (98) 422-80-67;zynoviiruban@example.org
Луценко;Олена;Василівна;Жінка;1957-11-10;Бібліотекар;хутір Березівка;сквер Світла, буд. 76, Петрово-Красносілля, 42172;068-32-43;babiichukteodor@example.com
Шеремет;Марина;Петрівна;Жінка;1988-08-01;Фізик;хутір Ківерці;узвіз Профспілкова, буд. 3, Сєвєродонецьк, 63029;+380 50 994 99 19;demydshelest@example.com
Дробаха;Алла;Олександрівна;Жінка;1978-07-13;Юрист;хутір Горлівка;парк Колонтаївська, буд. 2, Ірпінь, 34768;+380 (11) 302-19-17;ostap97@example.net
Щербак;Віолетта;Іванівна;Жінка;1968-06-15;Няня;місто Генічеськ;вулиця Привокзальна, буд. 4, Старокостянтинів, 48814;+380 (70) 532-01-51;mykhailo23@example.org
Кальченко;Софія;Тимофіївна;Жінка;1957-09-26;Електромонтер;селище Почаїв;шосе Якірний, буд. 916, Горішні Плавні, 94794;042 627 69 18;idubenko@example.org
Скоробогатько;Едуард;Анатолійович;Чоловік;1942-05-23;Біолог;місто Володимир-Волинський;вулиця Литовська, буд. 7, Павлоград, 06512;018 357 32 76;mvakulenko@example.org
Юхименко;Онисим;Тимофійович;Чоловік;1996-03-02;Геофізик;селище Кривий Ріг;сквер Толбухіна, буд. 79 кв. 7, Скалат, 79092;046 011 00 24;lukian47@example.org
Гупало;Богданна;Сергіївна;Жінка;1979-05-11;Гінеколог;місто Тисмениця;площа Партизанська, буд. 423 кв. 7, Чортків, 44184;+380 75 543 03 37;vkanivets@example.com
Черненко;Руслан;Борисович;Чоловік;1944-06-06;Патологоанатом;село Зіньків;парк Шевченка парк, буд. 52 кв. 14, Перевальськ, 47494;023 632-83-76;ivoblyi@example.org
Кальченко;Василь;Андрійович;Чоловік;1999-07-02;Сантехнік;село Южне;вулиця Совіньйонівський, буд. 9, Тульчин, 54590;+380 (74) 168-40-12;shakhraipavlo@example.net
Гречко;Ганна;Сергіївна;Жінка;2003-04-29;Модельєр;хутір Довжанськ;узвіз Житомирська, буд. 16, Борщів, 40574;+380 07 162 71 20;ievhentsiupa@example.org
Андрусенко;Роксолана;Кузьмівна;Жінка;1951-11-26;Електромонтер;селище Інкерман;провулок Восьмого Березня Лінія 5-та, буд. 957, Кипуче, 83497;341-94-80;ashelest@example.org
Ящук;Тарас;Євгенович;Чоловік;1990-10-25;Кур'єр;село Луганськ;шосе Цегельнозаводська, буд. 7, Рівне, 60509;507 32 48;leontii16@example.net
Приймак;Богдан;Ярославович;Чоловік;2005-01-06;Географ;хутір Слов'янськ;сквер Чорноморський 7-й, буд. 575, Мерефа, 11469;669-99-80;hennadiiieremenko@example.com
Затула;Семен;Юрійович;Чоловік;1968-10-21;Агроном;селище Рубіжне;площа Рачкова, буд. 0, Дубно, 72734;+380 (30) 719-14-43;borysmatviienko@example.com
Бабенко;Єлисей;Кузьмич;Чоловік;2006-06-08;Правник;селище Вінниця;узвіз Водопровідний 3-й, буд. 9, Тростянець, 96099;+380 12 985-76-20;panas65@example.org
Павленко;Максим;Анатолійович;Чоловік;1987-06-11;Пекар;місто Чигирин;узвіз Посівна, буд. 702 кв. 6, Заліщики, 06972;+380 20 104 30 47;anastasiia74@example.net
Архимович;Віра;Аркадіївна;Жінка;1940-07-16;Астрофізик;місто Калинівка ;шосе Павлодарська, буд. 479 кв. 08, Хмельницький, 38861;083 846-74-02;rchumachenko@example.net
Рубець;Златослава;Василівна;Жінка;2000-07-14;Бібліограф;хутір Київ;шосе Газова, буд. 340 кв. 770, Первомайський , 90712;628 70 74;ada56@example.net
Перепелиця;Георгій;Юрійович;Чоловік;1951-10-06;Етнограф;місто Херсон;шосе Лінійний, буд. 9 кв. 4, Рогатин, 20578;037 782-28-13;trokhymgalagan@example.net
Воблий;Давид;Аркадійович;Чоловік;1942-12-01;Зоолог;хутір Пирятин;парк Лінія 33-тя, буд. 8 кв. 5, Черкаси, 80072;+380 (50) 019-52-20;piddubnyioles@example.com
Франко;Сергій;Тимофійович;Чоловік;1997-11-24;Живописець;селище Лубни;шосе Панаса Мирного, буд. 40, Кобеляки, 07091;+380 42 204 99 87;nazarenkoustym@example.org
Яремко;Богданна;Петрівна;Жінка;1998-07-10;Єгер;село Нікополь;площа Приморський, буд. 8 кв. 08, Трускавець, 29412;+380 13 093 91 82;valerii02@example.org
Баштан;Марко;Вікторович;Чоловік;1960-01-05;Доцент;місто Суходільськ;провулок Профспілкова, буд. 5, Первомайськ, 48635;+380 36 879 24 70;levchenkoroksolana@example.net
Артим;Венедикт;Олександрович;Чоловік;1976-04-26;Гірничий інженер;місто Борислав;парк Ланжеронівська, буд. 47 кв. 1, Кролевець, 89456;+380 (02) 476-26-10;chernenkoarsen@example.com
Атаманюк;Артем;Борисович;Чоловік;2004-01-14;Реставратор;хутір Рожище;сквер Колективний, буд. 5, Верхівцеве, 14588;089 061 91 28;myroslav79@example.org
Дзиндра;Марʼяна;Юріївна;Жінка;1998-01-22;Круп'є;хутір Скадовськ;провулок Восьмого березня 5-й, буд. 0, Копичинці, 37921;+380 (79) 267-63-18;varfolomiiiatseniuk@example.org
Романець;Андрій;Євгенович;Чоловік;1975-10-22;Правник;місто Сімферополь;площа Данькевича, буд. 783, П'ятихатки, 51833;+380 70 061-70-90;nestorlutsenko@example.org
Габелко;Устим;Євгенович;Чоловік;1938-02-03;Мікробіолог;місто Барвінкове;сквер Прохоровський, буд. 80, Новодністровськ, 74817;+380 (06) 775-15-41;frantsiatseniuk@example.org
Дергач;Адам;Кузьмич;Чоловік;1954-04-17;Дипломат;селище Білопілля;провулок Морехідний, буд. 61 кв. 4, Єнакієве, 75218;+380 83 395 00 31;xzhalilo@example.net
Ємець;Леон;Федорович;Чоловік;1998-02-08;Прокурор;село Жовква;парк 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 70, Боярка, 66711;+380 (17) 965-69-27;varvara74@example.net
Адамчук;Віолетта;Юріївна;Жінка;1985-08-11;Пілот;село Березань ;вулиця Льва Толстого, буд. 84 кв. 30, Монастирище, 54932;+380 (56) 613-98-35;deriazhnyialina@example.com
Демиденко;Климент;Борисович;Чоловік;1947-07-08;Дипломат;селище Донецьк;шосе Путьова, буд. 1 кв. 2, Жовква, 58725;451 23 83;kamillaieromenko@example.com
Скоробогатько;Єфрем;Олександрович;Чоловік;1938-02-12;Пекар;село Зугрес;шосе 14-та Суворовська, буд. 7, Охтирка, 98070;086 690-39-48;shavrylets@example.com
Рябошапка;Арсен;Дмитрович;Чоловік;2003-02-12;Паралегал;село Монастирище;проспект Партизанська, буд. 504 кв. 66, Заставна, 43029;+380 (98) 857-19-78;zhukivan@example.org
Їжак;Лукʼян;Вікторович;Чоловік;1945-11-27;Диригент;селище Лисичанськ;сквер Академіка Вавилова, буд. 4 кв. 187, Дніпро , 65371;066 941 54 56;batihoryna@example.com
Гавриленко;Світлана;Сергіївна;Жінка;1984-12-25;Кінолог;село Городок;проспект Елеваторна, буд. 1, Болехів, 27665;117 51 67;ustenkoliubov@example.org
Токар;Трохим;Петрович;Чоловік;1940-09-03;Громадський діяч;хутір Татарбунари;парк Вапняне селище, буд. 646 кв. 350, Яремче, 28342;+380 47 028 71 03;geregaanzhela@example.net
Артеменко;Дмитро;Володимирович;Чоловік;1962-04-24;Провізор;місто Синельникове;узвіз Пілотна, буд. 1, Мена , 79470;+380 27 059 52 31;svenhrynovych@example.com
Гузенко;Єфрем;Кузьмич;Чоловік;1999-09-13;Будник;місто Ічня;вулиця Крижанівський, буд. 8 кв. 56, Херсон, 85888;434 66 65;pavlenkofrants@example.com
Тесленко;Кирило;Кузьмич;Чоловік;1948-02-28;Хореограф;хутір Старий Крим;сквер ім. С.Ю. Вітте, буд. 8, Броди, 72422;712-67-74;qhrytsenko@example.com
Ващенко-Захарченко;Роман;Ярославович;Чоловік;1951-10-21;Дизайнер;хутір Підгайці;узвіз Пересипський узвіз, буд. 30, Саки , 64990;018-55-20;amaliia27@example.org
Яковенко;Маруся;Євгенівна;Жінка;2006-09-17;Правник;хутір Люботин;вулиця Сєченова, буд. 7, Вуглегірськ, 46238;+380 03 090-00-94;veniiamynlesyk@example.net
Франко;Тереза;Аркадіївна;Жінка;1962-06-21;Шериф;село Деражня;парк Пролетарський 3-й, буд. 295 кв. 63, Рені, 47368;+380 19 405 92 21;xchumachenko@example.net
Бабій;Златослава;Кузьмівна;Жінка;1943-07-11;Футболіст;хутір Носівка;площа Нафтовиків, буд. 58 кв. 56, Київ, 08492;+380 90 267-79-40;bohuslavbaturynets@example.com
Вітрук;Пилип;Євгенович;Чоловік;1977-07-01;Журналіст;село Вуглегірськ;набережна Новосельского, буд. 664 кв. 287, Докучаєвськ, 13895;+380 34 032-81-60;bohodar61@example.net
Петлюра;Соломон;Володимирович;Чоловік;1996-09-18;Електромонтер;село Кальміуське;проспект Лінія 35-та, буд. 55 кв. 917, Чортків, 60921;+380 (91) 414-18-65;stepanduplii@example.com
Саєнко;Пантелеймон;Андрійович;Чоловік;1988-12-19;Модельєр;місто Копичинці;узвіз Восьмого березня узвіз, буд. 45, Полтава, 80601;061 695-35-25;vasylashkoheorhii@example.org
Худяк;Альберт;Іванович;Чоловік;1983-01-28;Няня;хутір Кадіївка;сквер Лінія 51-ша, буд. 1, Амвросіївка, 28141;+380 (43) 005-84-60;erika17@example.net
Шиян;Ганна;Федорівна;Жінка;1993-12-31;Детектив;селище Боково-Хрустальне;набережна Івана Вазова, буд. 176 кв. 1, Алчевськ, 87577;+380 45 634-16-33;riaboshapkazlatoslava@example.com
Жадан;Левко;Тимофійович;Чоловік;1995-03-19;Конструктор;місто Дубно;площа Асташкіна, буд. 644, Сколе, 86810;048 414-89-60;nestor54@example.net
Хомик;Віктор;Євгенович;Чоловік;2006-01-21;Фотограф;місто Роздільна;узвіз Аграрна, буд. 7, Суми, 74991;+380 37 835-67-78;sofiiasych@example.net
Базилевич;Сніжана;Вікторівна;Жінка;1948-06-01;Кінолог;селище Ровеньки;узвіз Ушакова, буд. 449, Іршава, 06250;+380 91 493 01 76;kolesnychenkovalentyn@example.net
Тесля;Августин;Дмитрович;Чоловік;1985-02-26;Модельєр;село Городня;узвіз Рівний, буд. 9 кв. 26, Павлоград, 73049;+380 (47) 389-76-53;omelian26@example.org
Зарудний;Кирило;Сергійович;Чоловік;1990-12-04;Флорист;село Городище ;узвіз Ланжеронівський узвіз, буд. 35, Балаклія, 43907;867 28 91;omelian43@example.com
Радченко;Анастасія;Євгенівна;Жінка;1959-11-05;Правник;хутір Богодухів;площа Суперфосфатна, буд. 7 кв. 546, Лозова , 31028;+380 21 906-16-48;azaronishchuk@example.org
Жарко;Ярема;Петрович;Чоловік;1994-02-05;Інженер;селище Лозова ;площа Чорноморський 9-й, буд. 14, Марганець , 26537;+380 (53) 995-68-12;mykhailyna81@example.org
Гаврилюк;Прохір;Тимофійович;Чоловік;1960-12-16;Астронавт;місто Косів;сквер Весняна, буд. 045, Рогатин, 19099;059-04-76;anitazabarnyi@example.com
Андрусенко;Аніта;Василівна;Жінка;1984-09-11;Єгер;село Торецьк;вулиця Магістральна, буд. 88, Первомайськ, 43323;443 50 14;qhrytsenko@example.org
Дрозденко;Франц;Іванович;Чоловік;1989-08-24;Програміст;хутір Радивилів;парк Азовський, буд. 36 кв. 214, Решетилівка, 67098;972 50 41;valentyn80@example.net
Прокопович;Максим;Іванович;Чоловік;1981-08-04;Бухгалтер;місто Красноград;провулок Кутова, буд. 36 кв. 61, Тиврів, 70422;+380 89 477-70-17;valentynparasiuk@example.com
Демʼянюк;Григорій;Андрійович;Чоловік;2002-04-24;Гірничий інженер;місто Географія Вільнянська;набережна Травневий 1-й, буд. 4 кв. 87, Новомосковськ, 94155;+380 44 675-47-00;dvashchuk@example.net
Гавриш;Остап;Борисович;Чоловік;2004-05-31;Редактор;село Гірське;площа 2-га Суворовська, буд. 23, Устилуг, 41741;905 34 46;bohodar09@example.net
